<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AA.P,20161031,89.61,90.5,89.61,90.5,791306
AADR,20161031,41.54,41.71,41.47,41.68,3800
AAMC,20161031,32.55,35,31.98,34.15,15300
AAU,20161031,1.3,1.34,1.3,1.33,138100
ABE,20161031,12.18,12.33,12.18,12.33,11500
ACIM,20161031,64.9,65.42,64.42,64.5,2400
ACU,20161031,21.23,21.86,21.1,21.86,1900
ACWF,20161031,23.87,23.87,23.87,23.87,100
ACWV,20161031,73.58,73.86,73.44,73.83,58500
ACY,20161031,9,9,8.9,9,900
ADGE,20161031,0.3,0.3,0.27,0.29,173800
ADK,20161031,1.61,1.73,1.54,1.67,53500
ADK-A,20161031,21.02,21.14,19.44,20.98,14900
AE,20161031,36.09,38.49,36.09,36.54,6400
AFCO,20161031,7.31,7.39,7.28,7.38,55400
AFK,20161031,20.6,20.84,20.09,20.53,18700
AFTY,20161031,13.53,13.53,13.52,13.52,400
AGF,20161031,12,12,12,12,100
AGG,20161031,111.3,111.33,111.21,111.3,3260200
AGGE,20161031,20.12,20.13,20.08,20.08,78700
AGGP,20161031,20.18,20.19,20.16,20.17,8400
AGGY,20161031,51.28,51.37,51.28,51.35,7900
AGQ,20161031,41.36,41.67,41.05,41.54,69400
AGZ,20161031,114.89,115.15,114.75,115.07,20900
AIII,20161031,1.06,1.09,1.06,1.09,200
AINC,20161031,45.49,45.51,45.49,45.51,1600
AIRI,20161031,3.4,3.52,3.4,3.52,12100
AKG,20161031,3.67,3.71,3.61,3.7,163500
ALD,20161031,44.76,44.87,44.76,44.87,600
ALFA,20161031,34.61,34.66,34.6,34.6,5000
ALN,20161031,0.65,0.68,0.65,0.65,5000
ALTS,20161031,37.67,37.74,37.63,37.7,15500
AMJ,20161031,30.38,30.47,29.98,30.14,1724700
AMJL,20161031,24.45,24.45,24.45,24.45,500
AMLP,20161031,12.44,12.44,12.23,12.23,8956400
AMPE,20161031,0.68,0.7,0.68,0.69,284900
AMS,20161031,3,3,3,3,2000
AMU,20161031,19.01,19.14,18.86,18.98,37500
AMZA,20161031,10.77,10.78,10.59,10.65,290600
AND,20161031,7.95,7.95,7.95,7.95,100
ANGL,20161031,29.13,29.13,28.7,28.74,978900
AOA,20161031,46.64,46.64,46.46,46.57,21300
AOK,20161031,32.87,32.92,32.8,32.89,37700
AOM,20161031,35.41,35.47,35.37,35.37,107100
AOR,20161031,40.34,40.38,40.25,40.36,67200
APHB,20161031,1.13,1.2,1.13,1.18,93900
APT,20161031,3.3,3.45,3.3,3.35,44400
ARGT,20161031,23.78,23.84,23.68,23.8,39100
ARKG,20161031,16.9,16.9,16.72,16.72,800
ARKK,20161031,19.98,20.01,19.89,19.92,1600
ARKQ,20161031,20.8,20.81,20.79,20.79,2500
ARKW,20161031,25.1,25.1,24.63,24.72,2900
ASB.W,20161031,2.7,2.7,2.7,2.7,100
ASEA,20161031,13.76,13.76,13.55,13.57,2000
ASHR,20161031,24.63,24.68,24.6,24.64,295500
ASHS,20161031,34.71,34.71,34.51,34.51,3300
ASHX,20161031,22.77,22.82,22.76,22.76,10200
ASM,20161031,2.03,2.03,1.91,1.95,156300
AST,20161031,3.25,3.5,3.2,3.3,105500
AST.W,20161031,0.45,0.45,0.44,0.44,300
ATMP,20161031,22.27,22.42,22.17,22.27,34800
ATNM,20161031,1.01,1.01,0.93,0.95,665400
AUMN,20161031,0.62,0.63,0.6,0.62,276500
AUNZ,20161031,18.37,18.42,18.37,18.42,300
AUSE,20161031,51.31,51.31,51.31,51.31,400
AWX,20161031,2.65,2.65,2.61,2.61,2100
AXJL,20161031,59.41,59.57,59.41,59.52,500
AXJV,20161031,49.34,49.36,49.34,49.36,1200
AXN,20161031,0.41,0.43,0.4,0.4,81800
AXU,20161031,1.84,1.84,1.73,1.76,222400
AYT,20161031,40.95,41.27,40.71,40.71,38200
BAA,20161031,0.26,0.26,0.24,0.26,456400
BAB,20161031,30.67,30.77,30.66,30.72,92200
BAL,20161031,46.01,46.01,45.57,45.65,13900
BATS,20161031,29.2,29.55,29.05,29.41,1034300
BBRC,20161031,16.17,16.17,15.82,16.02,17300
BCM,20161031,26.43,26.43,26.25,26.27,900
BCV,20161031,20.94,21.16,20.56,20.81,41700
BCV-A,20161031,25.58,25.59,25.45,25.45,5400
BDCL,20161031,17.66,17.85,17.35,17.35,184700
BDCS,20161031,21.68,21.68,21.26,21.4,15200
BDD,20161031,5.75,5.92,5.75,5.92,2300
BDL,20161031,23.15,23.15,23.15,23.15,100
BDR,20161031,0.58,0.58,0.51,0.54,13500
BEMO,20161031,24.7,24.7,24.7,24.7,400
BFOR,20161031,31.23,31.35,31.14,31.35,3200
BFY,20161031,15.9,15.95,15.8,15.83,4400
BGI,20161031,1.49,1.49,1.35,1.37,46300
BGSF,20161031,13.64,14.4,13.43,14.26,47600
BHB,20161031,36.61,37.35,36.35,36.35,11300
BHV,20161031,18.09,18.74,18.08,18.08,4800
BIGD,20161031,23.55,23.55,23.55,23.55,100
BIL,20161031,45.73,45.74,45.73,45.74,1470800
BIV,20161031,86.63,86.68,86.55,86.65,458000
BIZD,20161031,17.37,17.37,17.2,17.23,44000
BJK,20161031,34.68,35.09,34.68,35.09,2400
BKF,20161031,34.17,34.2,34.09,34.13,8600
BKLN,20161031,23.2,23.21,23.17,23.18,2971400
BLE,20161031,14.99,15.01,14.86,14.92,65900
BLJ,20161031,16.45,16.75,16.28,16.42,5700
BLV,20161031,95.19,95.33,94.95,95.3,77100
BND,20161031,83.21,83.25,83.14,83.19,1664600
BNDS,20161031,58.63,58.69,58.58,58.62,490900
BNO,20161031,14.3,14.32,13.87,13.87,98700
BOIL,20161031,15.33,15.36,14.24,14.29,70300
BOND,20161031,106.86,106.99,106.8,106.94,88000
BPMX,20161031,0.28,0.33,0.27,0.31,468200
BRAQ,20161031,14.11,14.11,14,14,1400
BRAZ,20161031,9.99,9.99,9.88,9.88,600
BRF,20161031,18.71,18.72,18.54,18.64,18600
BRG,20161031,12.15,12.46,12,12.4,66500
BRG-A,20161031,26.34,26.5,26.3,26.33,4400
BRG-C,20161031,25.63,25.68,25.6,25.61,5900
BRG-D,20161031,24.81,24.92,24.81,24.92,1300
BRN,20161031,1.6,1.61,1.6,1.61,3300
BRZU,20161031,47.92,48.55,46.98,47.47,194400
BSCG,20161031,22.06,22.08,22.06,22.07,39200
BSCH,20161031,22.67,22.69,22.67,22.69,67700
BSCI,20161031,21.28,21.3,21.28,21.28,67700
BSCJ,20161031,21.32,21.36,21.31,21.35,79300
BSCK,20161031,21.58,21.61,21.57,21.58,54000
BSCL,20161031,21.5,21.51,21.47,21.49,54000
